client_id,Variation_x,Variation_y,Variation
7887617,Test,Test,Test
3317334,Control,Control,Control
5512354,Control,Control,Control
7889092,Control,Control,Control
5267696,Test,Test,Test
7060702,Control,Control,Control
8569065,Control,Control,Control
2006775,Test,Test,Test
6030486,Control,Control,Control
6280351,Control,Control,Control
2108691,Control,Control,Control
2599976,Control,Control,Control
2853115,Control,Control,Control
4554752,Control,Control,Control
8968789,Control,Control,Control
1212721,Test,Test,Test
3322967,Test,Test,Test
6486309,Test,Test,Test
5436729,Test,Test,Test
3074366,Test,Test,Test
3291778,Control,Control,Control
7059333,Control,Control,Control
5188022,Control,Control,Control
6884073,Control,Control,Control
5206988,Test,Test,Test
3366060,Test,Test,Test
7342579,Test,Test,Test
1465396,Test,Test,Test
4780398,Control,Control,Control
2152873,Control,Control,Control
9129878,Control,Control,Control
4023943,Control,Control,Control
521003,Control,Control,Control
2021664,Test,Test,Test
2601570,Test,Test,Test
6066143,Test,Test,Test
464620,Control,Control,Control
3700898,Test,Test,Test
1596808,Control,Control,Control
6578023,Control,Control,Control
1455127,Test,Test,Test
9595233,Control,Control,Control
8560542,Test,Test,Test
2616663,Test,Test,Test
6793640,Control,Control,Control
3097635,Test,Test,Test
409450,Control,Control,Control
7505821,Test,Test,Test
2802293,Control,Control,Control
7928244,Test,Test,Test
6094349,Test,Test,Test
6911162,Control,Control,Control
5379396,Test,Test,Test
2035117,Control,Control,Control
2379374,Test,Test,Test
